Actual,Error,Item_id,Predicted,Store_id
[2 1 1 1 4 2 2 1 1],1.88888888889,228,[ 1.  3.  3.  2.  2.  5.  5.  3.  2.],101
[2 4 1 1 1 2 1 2 1],2.88888888889,228,[ 5.  3.  4.  5.  2.  3.  5.  5.  7.],102
[0 0 1 0 1 3 1 1 1],1.22222222222,228,[ 3.  1.  5.  2.  1.  3.  1.  2.  1.],103
[ 2  1  1  1  0  1  0  0 -1],1.11111111111,228,[ 1.  1.  1.  1.  2.  1.  2.  2.  2.],104
[ 1  0  3 -1  2  4  1  0  0],2.33333333333,228,[ 6.  2.  4.  4.  5.  2.  2.  1.  1.],105
[1 0 0 1 1 1 0 2 2],0.888888888889,228,[ 0.  0.  1.  0.  0.  1.  1.  3.  0.],106
[0 1 0 1 0 0 0 2 1],0.555555555556,228,[ 0.  0.  0.  1.  0.  1.  2.  1.  1.],108
[1 1 0 0 0 0 0 3 1],1.11111111111,228,[ 2.  1.  1.  2.  1.  1.  0.  0.  0.],109
[4 1 2 0 0 3 4 3 5],2.22222222222,228,[ 4.  2.  2.  4.  3.  7.  2.  1.  1.],110
[1 1 2 3 3 2 4 2 1],1.44444444444,228,[ 4.  2.  5.  5.  2.  2.  5.  3.  2.],111
[2 0 1 1 0 1 2 1 1],1.22222222222,228,[ 3.  3.  1.  3.  3.  1.  1.  1.  0.],112
[1 0 2 0 1 0 1 5 2],1.77777777778,228,[ 3.  2.  1.  3.  3.  1.  2.  2.  3.],113
[2 5 2 1 1 1 3 0 1],2.77777777778,228,[ 7.  3.  4.  3.  5.  7.  5.  2.  1.],114
[3 2 1 0 0 1 0 0 1],1.88888888889,228,[ 2.  4.  2.  2.  5.  2.  1.  2.  3.],115
[1 1 0 0 0 1 2 1 1],1.33333333333,228,[ 3.  2.  3.  1.  1.  1.  5.  2.  1.],116
[4 2 1 2 0 2 3 0 2],1.77777777778,228,[ 5.  1.  5.  5.  2.  1.  5.  1.  1.],118
[3 4 1 2 1 1 0 2 1],1.77777777778,228,[ 0.  0.  0.  2.  0.  3.  3.  3.  2.],119
[2 0 0 1 2 1 2 1 0],1.44444444444,228,[ 3.  1.  2.  4.  1.  2.  3.  3.  1.],120
[0 2 2 0 0 1 0 1 1],1.44444444444,228,[ 2.  3.  4.  1.  1.  2.  5.  1.  1.],121
[0 2 2 2 0 1 1 2 0],1.33333333333,228,[ 3.  2.  1.  3.  1.  4.  3.  2.  1.],122
[1 3 1 0 0 1 0 1 2],0.555555555556,228,[ 1.  2.  1.  0.  0.  2.  0.  0.  0.],123
[2 1 0 3 0 1 1 2 1],2.55555555556,228,[  4.   3.   1.   2.   2.   3.   2.  12.   3.],124
[0 0 0 1 0 1 0 2 1],1.22222222222,228,[ 2.  1.  1.  2.  3.  2.  0.  0.  1.],125
[2 2 0 1 0 1 2 1 2],1.22222222222,228,[ 0.  2.  4.  2.  0.  0.  1.  1.  0.],126
[2 1 1 1 2 1 1 2 2],1.22222222222,228,[ 0.  0.  1.  0.  0.  0.  3.  1.  1.],127
[1 0 2 4 0 3 0 4 2],1.66666666667,228,[ 2.  2.  3.  3.  2.  4.  4.  6.  1.],128
[0 1 0 1 1 0 1 1 1],0.555555555556,228,[ 1.  1.  0.  0.  1.  1.  2.  1.  0.],129
[ 4  2  1  0  0  0 -1  1  1],1.33333333333,228,[ 0.  2.  1.  0.  1.  4.  0.  0.  2.],130
[0 1 0 0 0 0 0 1 1],1.0,228,[ 1.  1.  1.  2.  1.  2.  0.  0.  0.],132
[1 0 1 0 2 0 0 2 2],1.88888888889,228,[ 2.  1.  3.  5.  4.  3.  1.  3.  1.],133
[0 1 1 0 0 0 1 1 0],0.888888888889,228,[ 1.  3.  0.  0.  0.  0.  1.  2.  3.],134
[1 0 0 1 0 0 0 3 1],1.11111111111,228,[ 0.  1.  1.  0.  1.  0.  2.  1.  0.],135
[0 1 0 0 1 1 1 2 3],2.66666666667,228,[ 3.  4.  6.  6.  3.  2.  2.  2.  1.],136
[0 0 0 1 1 0 2 1 3],1.66666666667,228,[ 2.  4.  2.  2.  2.  3.  2.  1.  1.],137
[ 4  0  0  2  0  1  1  3 -1],1.44444444444,228,[ 1.  1.  2.  1.  2.  3.  1.  3.  1.],138
[2 0 1 2 0 3 2 0 2],1.88888888889,228,[ 4.  2.  2.  2.  4.  1.  1.  3.  4.],139
[2 1 0 1 1 1 0 2 1],1.22222222222,228,[ 1.  1.  2.  0.  4.  0.  1.  1.  0.],140
[0 0 1 1 1 0 0 1 0],0.666666666667,228,[ 0.  1.  2.  1.  0.  1.  1.  1.  1.],141
[0 0 0 0 1 1 0 0 1],0.777777777778,228,[ 0.  1.  0.  1.  0.  4.  1.  0.  1.],142
[1 0 2 1 0 0 0 1 1],1.33333333333,228,[ 1.  4.  3.  0.  1.  2.  0. -1.  2.],144
[6 0 0 0 0 0 0 0 0],2.33333333333,228,[ 1.  3.  4.  2.  1.  3.  1.  1.  1.],145
[0 2 1 0 1 0 1 1 4],3.11111111111,228,[ 2.  1.  5.  4.  4.  3.  4.  8.  3.],146
[1 1 2 0 0 1 0 1 2],1.55555555556,228,[ 0.  3.  0.  1.  5.  0.  1.  0.  2.],147
[2 0 1 0 0 0 1 1 2],0.777777777778,228,[ 0.  0.  2.  1.  0.  2.  2.  1.  2.],148
[0 0 1 1 1 0 2 0 1],0.888888888889,228,[ 0.  2.  2.  0.  1.  1.  0.  1.  1.],149
[0 1 1 0 0 2 0 0 1],1.44444444444,228,[ 3.  4.  2.  1.  2.  1.  1.  1.  1.],150
[1 3 1 2 2 3 0 2 4],2.33333333333,228,[ 3.  1.  9.  3.  3.  1.  1.  1.  1.],151
[0 0 0 2 1 0 0 1 2],0.444444444444,228,[ 0.  0.  0.  1.  0.  0.  0.  0.  1.],152
[0 2 3 0 1 1 1 2 1],1.22222222222,228,[ 1.  4.  3.  2.  1.  2.  2.  6.  1.],154
[3 0 2 3 0 0 1 1 1],0.888888888889,228,[ 1.  1.  2.  2.  3.  1.  1.  1.  1.],156
