Actual,Error,Item_id,Predicted,Store_id,Sum Actual,Sum Predicted
[2 1 1 1 4 2 2 1 1],73.3333333333,228,[ 1.  3.  3.  2.  2.  5.  5.  3.  2.],101,15,26.0
[2 4 1 1 1 2 1 2 1],160.0,228,[ 5.  3.  4.  5.  2.  3.  5.  5.  7.],102,15,39.0
[0 0 1 0 1 3 1 1 1],137.5,228,[ 3.  1.  5.  2.  1.  3.  1.  2.  1.],103,8,19.0
[ 2  1  1  1  0  1  0  0 -1],160.0,228,[ 1.  1.  1.  1.  2.  1.  2.  2.  2.],104,5,13.0
[ 1  0  3 -1  2  4  1  0  0],170.0,228,[ 6.  2.  4.  4.  5.  2.  2.  1.  1.],105,10,27.0
[1 0 0 1 1 1 0 2 2],25.0,228,[ 0.  0.  1.  0.  0.  1.  1.  3.  0.],106,8,6.0
[0 1 0 1 0 0 0 2 1],20.0,228,[ 0.  0.  0.  1.  0.  1.  2.  1.  1.],108,5,6.0
[1 1 0 0 0 0 0 3 1],33.3333333333,228,[ 2.  1.  1.  2.  1.  1.  0.  0.  0.],109,6,8.0
[4 1 2 0 0 3 4 3 5],18.1818181818,228,[ 4.  2.  2.  4.  3.  7.  2.  1.  1.],110,22,26.0
[1 1 2 3 3 2 4 2 1],57.8947368421,228,[ 4.  2.  5.  5.  2.  2.  5.  3.  2.],111,19,30.0
[2 0 1 1 0 1 2 1 1],77.7777777778,228,[ 3.  3.  1.  3.  3.  1.  1.  1.  0.],112,9,16.0
[1 0 2 0 1 0 1 5 2],66.6666666667,228,[ 3.  2.  1.  3.  3.  1.  2.  2.  3.],113,12,20.0
[2 5 2 1 1 1 3 0 1],131.25,228,[ 7.  3.  4.  3.  5.  7.  5.  2.  1.],114,16,37.0
[3 2 1 0 0 1 0 0 1],187.5,228,[ 2.  4.  2.  2.  5.  2.  1.  2.  3.],115,8,23.0
[1 1 0 0 0 1 2 1 1],171.428571429,228,[ 3.  2.  3.  1.  1.  1.  5.  2.  1.],116,7,19.0
[4 2 1 2 0 2 3 0 2],62.5,228,[ 5.  1.  5.  5.  2.  1.  5.  1.  1.],118,16,26.0
[3 4 1 2 1 1 0 2 1],13.3333333333,228,[ 0.  0.  0.  2.  0.  3.  3.  3.  2.],119,15,13.0
[2 0 0 1 2 1 2 1 0],122.222222222,228,[ 3.  1.  2.  4.  1.  2.  3.  3.  1.],120,9,20.0
[0 2 2 0 0 1 0 1 1],185.714285714,228,[ 2.  3.  4.  1.  1.  2.  5.  1.  1.],121,7,20.0
[0 2 2 2 0 1 1 2 0],100.0,228,[ 3.  2.  1.  3.  1.  4.  3.  2.  1.],122,10,20.0
[1 3 1 0 0 1 0 1 2],33.3333333333,228,[ 1.  2.  1.  0.  0.  2.  0.  0.  0.],123,9,6.0
[2 1 0 3 0 1 1 2 1],190.909090909,228,[  4.   3.   1.   2.   2.   3.   2.  12.   3.],124,11,32.0
[0 0 0 1 0 1 0 2 1],140.0,228,[ 2.  1.  1.  2.  3.  2.  0.  0.  1.],125,5,12.0
[2 2 0 1 0 1 2 1 2],9.09090909091,228,[ 0.  2.  4.  2.  0.  0.  1.  1.  0.],126,11,10.0
[2 1 1 1 2 1 1 2 2],53.8461538462,228,[ 0.  0.  1.  0.  0.  0.  3.  1.  1.],127,13,6.0
[1 0 2 4 0 3 0 4 2],68.75,228,[ 2.  2.  3.  3.  2.  4.  4.  6.  1.],128,16,27.0
[0 1 0 1 1 0 1 1 1],16.6666666667,228,[ 1.  1.  0.  0.  1.  1.  2.  1.  0.],129,6,7.0
[ 4  2  1  0  0  0 -1  1  1],25.0,228,[ 0.  2.  1.  0.  1.  4.  0.  0.  2.],130,8,10.0
[0 1 0 0 0 0 0 1 1],166.666666667,228,[ 1.  1.  1.  2.  1.  2.  0.  0.  0.],132,3,8.0
[1 0 1 0 2 0 0 2 2],187.5,228,[ 2.  1.  3.  5.  4.  3.  1.  3.  1.],133,8,23.0
[0 1 1 0 0 0 1 1 0],150.0,228,[ 1.  3.  0.  0.  0.  0.  1.  2.  3.],134,4,10.0
[1 0 0 1 0 0 0 3 1],0.0,228,[ 0.  1.  1.  0.  1.  0.  2.  1.  0.],135,6,6.0
[0 1 0 0 1 1 1 2 3],222.222222222,228,[ 3.  4.  6.  6.  3.  2.  2.  2.  1.],136,9,29.0
[0 0 0 1 1 0 2 1 3],137.5,228,[ 2.  4.  2.  2.  2.  3.  2.  1.  1.],137,8,19.0
[ 4  0  0  2  0  1  1  3 -1],50.0,228,[ 1.  1.  2.  1.  2.  3.  1.  3.  1.],138,10,15.0
[2 0 1 2 0 3 2 0 2],91.6666666667,228,[ 4.  2.  2.  2.  4.  1.  1.  3.  4.],139,12,23.0
[2 1 0 1 1 1 0 2 1],11.1111111111,228,[ 1.  1.  2.  0.  4.  0.  1.  1.  0.],140,9,10.0
[0 0 1 1 1 0 0 1 0],100.0,228,[ 0.  1.  2.  1.  0.  1.  1.  1.  1.],141,4,8.0
[0 0 0 0 1 1 0 0 1],166.666666667,228,[ 0.  1.  0.  1.  0.  4.  1.  0.  1.],142,3,8.0
[1 0 2 1 0 0 0 1 1],100.0,228,[ 1.  4.  3.  0.  1.  2.  0. -1.  2.],144,6,12.0
[6 0 0 0 0 0 0 0 0],183.333333333,228,[ 1.  3.  4.  2.  1.  3.  1.  1.  1.],145,6,17.0
[0 2 1 0 1 0 1 1 4],240.0,228,[ 2.  1.  5.  4.  4.  3.  4.  8.  3.],146,10,34.0
[1 1 2 0 0 1 0 1 2],50.0,228,[ 0.  3.  0.  1.  5.  0.  1.  0.  2.],147,8,12.0
[2 0 1 0 0 0 1 1 2],42.8571428571,228,[ 0.  0.  2.  1.  0.  2.  2.  1.  2.],148,7,10.0
[0 0 1 1 1 0 2 0 1],33.3333333333,228,[ 0.  2.  2.  0.  1.  1.  0.  1.  1.],149,6,8.0
[0 1 1 0 0 2 0 0 1],220.0,228,[ 3.  4.  2.  1.  2.  1.  1.  1.  1.],150,5,16.0
[1 3 1 2 2 3 0 2 4],27.7777777778,228,[ 3.  1.  9.  3.  3.  1.  1.  1.  1.],151,18,23.0
